Date,FTSE
23/01/2018,4295.45
24/01/2018,4249.97
25/01/2018,4236.64
26/01/2018,4262.88
29/01/2018,4264.33
30/01/2018,4218.49
31/01/2018,4188.89
01/02/2018,4166.92
02/02/2018,4137.41
05/02/2018,4077.79
06/02/2018,3973.4
07/02/2018,4052.19
08/02/2018,3989.21
09/02/2018,3949.21
12/02/2018,3993.96
13/02/2018,3987.7
14/02/2018,4013.43
15/02/2018,4027.49
16/02/2018,4060.72
19/02/2018,4036.19
20/02/2018,4041.03
21/02/2018,4056.6
22/02/2018,4041.28
23/02/2018,4039.88
26/02/2018,4061.7
27/02/2018,4060.06
28/02/2018,4030.11
01/03/2018,3999.37
02/03/2018,3944.75
05/03/2018,3972.35
06/03/2018,3990.87
07/03/2018,3998.92
08/03/2018,4026.67
09/03/2018,4040.58
12/03/2018,4037.2
13/03/2018,3993.21
14/03/2018,3988.89
15/03/2018,3992.45
16/03/2018,4002.91
19/03/2018,3943.04
20/03/2018,3952.52
21/03/2018,3940.28
22/03/2018,3890.77
23/03/2018,3874.01
26/03/2018,3854.02
27/03/2018,3912.46
28/03/2018,3932.06
29/03/2018,3941.17
03/04/2018,3926.9
04/04/2018,3923.87
05/04/2018,4011.25
06/04/2018,4002.31
09/04/2018,4005.85
10/04/2018,4045.8
11/04/2018,4040.64
12/04/2018,4045.32
13/04/2018,4050.49
16/04/2018,4017.47
17/04/2018,4032.37
18/04/2018,4080.94
19/04/2018,4091.01
20/04/2018,4111.72
23/04/2018,4129.25
24/04/2018,4137.34
25/04/2018,4109.91
26/04/2018,4133.5
27/04/2018,4175.55
30/04/2018,4179.29
01/05/2018,4186.61
02/05/2018,4202.65
03/05/2018,4179.04
04/05/2018,4210.81
08/05/2018,4216.16
09/05/2018,4263.98
10/05/2018,4282.37
11/05/2018,4296.28
14/05/2018,4290.53
15/05/2018,4295.53
16/05/2018,4302.24
17/05/2018,4333.74
18/05/2018,4328.47
21/05/2018,4370.8
22/05/2018,4381.12
23/05/2018,4333.46
24/05/2018,4299.75
25/05/2018,4310.22
29/05/2018,4252.4
30/05/2018,4281.38
31/05/2018,4276.94
01/06/2018,4292.65
04/06/2018,4315.3
05/06/2018,4288.04
06/06/2018,4304.03
07/06/2018,4299.76
08/06/2018,4289.16
11/06/2018,4320.73
12/06/2018,4302.49
13/06/2018,4302.14
14/06/2018,4334.04
15/06/2018,4261.94
18/06/2018,4260.54
19/06/2018,4242.19
20/06/2018,4256.22
21/06/2018,4216.54
22/06/2018,4284.56
26/06/2018,4208.88
27/06/2018,4250.75
28/06/2018,4242.49
29/06/2018,4257.38
02/07/2018,4208.33
03/07/2018,4231.47
04/07/2018,4221.65
05/07/2018,4234.58
06/07/2018,4241.22
09/07/2018,4280.78
10/07/2018,4283.7
11/07/2018,4230.07
12/07/2018,4262.33
13/07/2018,4268.37
16/07/2018,4239.39
17/07/2018,4253.82
18/07/2018,4280.87
19/07/2018,4281.83
20/07/2018,4280.05
23/07/2018,4264.09
24/07/2018,4291.65
25/07/2018,4264.67
26/07/2018,4267.46
27/07/2018,4288.6
30/07/2018,4288.7
31/07/2018,4310.96
01/08/2018,4263.81
02/08/2018,4219.45
03/08/2018,4261.04
06/08/2018,4263.35
07/08/2018,4290.02
08/08/2018,4320.28
09/08/2018,4305.27
10/08/2018,4265.8
13/08/2018,4251.25
14/08/2018,4234.71
15/08/2018,4175.39
16/08/2018,4207.4
17/08/2018,4207.82
20/08/2018,4225.96
21/08/2018,4217.86
22/08/2018,4221.82
23/08/2018,4217.47
24/08/2018,4224.99
28/08/2018,4248.82
29/08/2018,4219.89
30/08/2018,4196.42
31/08/2018,4157.45
03/09/2018,4191.24
04/09/2018,4164.52
05/09/2018,4124.41
06/09/2018,4090.94
07/09/2018,4069.25
10/09/2018,4071.69
11/09/2018,4067.88
12/09/2018,4091.61
13/09/2018,4072.2
14/09/2018,4087.12
17/09/2018,4086.16
18/09/2018,4088.12
19/09/2018,4103.92
20/09/2018,4122.49
21/09/2018,4181.03
24/09/2018,4162.76
25/09/2018,4184.7
26/09/2018,4185.7
27/09/2018,4199.38
28/09/2018,4180.71
01/10/2018,4177.14
02/10/2018,4162.7
03/10/2018,4180.51
04/10/2018,4130.6
05/10/2018,4078.4
08/10/2018,4029.56
09/10/2018,4028.27
10/10/2018,3975.04
11/10/2018,3896.54
12/10/2018,3896.33
15/10/2018,3906.09
16/10/2018,3931.84
17/10/2018,3925.01
18/10/2018,3910.38
19/10/2018,3915.4
22/10/2018,3910.87
23/10/2018,3856.4
24/10/2018,3861.85
25/10/2018,3885.21
26/10/2018,3849.14
29/10/2018,3896.74
30/10/2018,3904.58
31/10/2018,3955.96
01/11/2018,3958.3
02/11/2018,3953.9
05/11/2018,3949.62
06/11/2018,3919.52
07/11/2018,3958.69
08/11/2018,3973.28
09/11/2018,3951.76
12/11/2018,3917.51
13/11/2018,3923.67
14/11/2018,3911.83
15/11/2018,3905.47
16/11/2018,3891.77
19/11/2018,3884.08
20/11/2018,3853.57
21/11/2018,3908.57
22/11/2018,3864.84
23/11/2018,3861.46
26/11/2018,3906.44
27/11/2018,3895.57
28/11/2018,3889.11
29/11/2018,3904.12
30/11/2018,3872.47
03/12/2018,3913.54
04/12/2018,3887.2
05/12/2018,3838.22
