"date","CHINA A-DS MARKET $ - PRICE INDEX","DAX 30 PERFORMANCE - PRICE INDEX","DOW JONES INDUSTRIALS - PRICE INDEX","FTSE ALL SHARE - PRICE INDEX","IRELAND-DS MARKET $ - PRICE INDEX","NIKKEI 225 STOCK AVERAGE - PRICE INDEX","RUSSELL 2000 - PRICE INDEX","S&P 500 COMPOSITE DS CALCULATED - PRICE INDEX","WORLD-DS Market - PRICE INDEX"
1960-01-29,NA,NA,622.62,NA,NA,953.03,NA,NA,NA
1960-02-01,NA,NA,626.2,NA,NA,962.7,NA,NA,NA
1960-02-02,NA,NA,636.92,NA,NA,959.48,NA,NA,NA
1960-02-03,NA,NA,630.97,NA,NA,958.98,NA,NA,NA
1960-02-04,NA,NA,631.14,NA,NA,960.7,NA,NA,NA
1960-02-05,NA,NA,626.77,NA,NA,964.56,NA,NA,NA
1960-02-08,NA,NA,619.43,NA,NA,977.11,NA,NA,NA
1960-02-09,NA,NA,628.45,NA,NA,983.29,NA,NA,NA
1960-02-10,NA,NA,623.36,NA,NA,985.98,NA,NA,NA
1960-02-11,NA,NA,618.57,NA,NA,990.89,NA,NA,NA
1960-02-12,NA,NA,622.23,NA,NA,986.1,NA,NA,NA
1960-02-15,NA,NA,617.58,NA,NA,987.56,NA,NA,NA
1960-02-16,NA,NA,611.33,NA,NA,992.51,NA,NA,NA
1960-02-17,NA,NA,613.55,NA,NA,988.12,NA,NA,NA
1960-02-18,NA,NA,622.19,NA,NA,976.59,NA,NA,NA
1960-02-19,NA,NA,628.45,NA,NA,991.8,NA,NA,NA
1960-02-22,NA,NA,628.45,NA,NA,1004.33,NA,NA,NA
1960-02-23,NA,NA,626.19,NA,NA,1001.22,NA,NA,NA
1960-02-24,NA,NA,623.73,NA,NA,993.52,NA,NA,NA
1960-02-25,NA,NA,628.51,NA,NA,998.11,NA,NA,NA
1960-02-26,NA,NA,632,NA,NA,1007.04,NA,NA,NA
1960-02-29,NA,NA,630.12,NA,NA,1015.06,NA,NA,NA
1960-03-01,NA,NA,626.87,NA,NA,1025.02,NA,NA,NA
1960-03-02,NA,NA,621.37,NA,NA,1029.46,NA,NA,NA
1960-03-03,NA,NA,612.05,NA,NA,1032.3,NA,NA,NA
1960-03-04,NA,NA,609.79,NA,NA,1025.6,NA,NA,NA
1960-03-07,NA,NA,604.02,NA,NA,1025.06,NA,NA,NA
1960-03-08,NA,NA,599.1,NA,NA,1032.07,NA,NA,NA
1960-03-09,NA,NA,607.16,NA,NA,1025.06,NA,NA,NA
1960-03-10,NA,NA,602.31,NA,NA,1008.16,NA,NA,NA
1960-03-11,NA,NA,605.83,NA,NA,1010.04,NA,NA,NA
1960-03-14,NA,NA,606.79,NA,NA,1006.06,NA,NA,NA
1960-03-15,NA,NA,612.18,NA,NA,1007.09,NA,NA,NA
1960-03-16,NA,NA,616.73,NA,NA,1009.42,NA,NA,NA
1960-03-17,NA,NA,615.09,NA,NA,1023.18,NA,NA,NA
1960-03-18,NA,NA,616.42,NA,NA,1021.33,NA,NA,NA
1960-03-21,NA,NA,617,NA,NA,1024.06,NA,NA,NA
1960-03-22,NA,NA,618.09,NA,NA,1033.06,NA,NA,NA
1960-03-23,NA,NA,622.06,NA,NA,1033.3,NA,NA,NA
1960-03-24,NA,NA,624,NA,NA,1039.52,NA,NA,NA
1960-03-25,NA,NA,622.47,NA,NA,1040.93,NA,NA,NA
1960-03-28,NA,NA,621.78,NA,NA,1039.58,NA,NA,NA
1960-03-29,NA,NA,620.35,NA,NA,1047.28,NA,NA,NA
1960-03-30,NA,NA,619.94,NA,NA,1060.47,NA,NA,NA
1960-03-31,NA,NA,616.59,NA,NA,1059.49,NA,NA,NA
1960-04-01,NA,NA,615.98,NA,NA,1062.25,NA,NA,NA
1960-04-04,NA,NA,618.54,NA,NA,1074.41,NA,NA,NA
1960-04-05,NA,NA,622.19,NA,NA,1069.28,NA,NA,NA
1960-04-06,NA,NA,628.31,NA,NA,1075.39,NA,NA,NA
1960-04-07,NA,NA,629.03,NA,NA,1069.61,NA,NA,NA
1960-04-08,NA,NA,628.1,NA,NA,1074.24,NA,NA,NA
1960-04-11,NA,NA,624.89,NA,NA,1071.99,NA,NA,NA
1960-04-12,NA,NA,626.5,NA,NA,1071.47,NA,NA,NA
1960-04-13,NA,NA,626.5,NA,NA,1052.23,NA,NA,NA
1960-04-14,NA,NA,630.12,NA,NA,1066.82,NA,NA,NA
1960-04-15,NA,NA,630.12,NA,NA,1059.06,NA,NA,NA
1960-04-18,NA,NA,630.77,NA,NA,1078.45,NA,NA,NA
1960-04-19,NA,NA,626.4,NA,NA,1089.04,NA,NA,NA
1960-04-20,NA,NA,618.71,NA,NA,1087.89,NA,NA,NA
1960-04-21,NA,NA,619.15,NA,NA,1094.73,NA,NA,NA
1960-04-22,NA,NA,616.32,NA,NA,1090.28,NA,NA,NA
1960-04-25,NA,NA,611.13,NA,NA,1087.57,NA,NA,NA
1960-04-26,NA,NA,610.92,NA,NA,1089.36,NA,NA,NA
1960-04-27,NA,NA,609.96,NA,NA,1092.12,NA,NA,NA
1960-04-28,NA,NA,604.33,NA,NA,1092.04,NA,NA,NA
1960-04-29,NA,NA,601.7,NA,NA,1092.04,NA,NA,NA
1960-05-02,NA,NA,599.61,NA,NA,1101.95,NA,NA,NA
1960-05-03,NA,NA,607.73,NA,NA,1101.95,NA,NA,NA
1960-05-04,NA,NA,610.99,NA,NA,1102.13,NA,NA,NA
1960-05-05,NA,NA,608.32,NA,NA,1102.13,NA,NA,NA
1960-05-06,NA,NA,607.62,NA,NA,1099.43,NA,NA,NA
1960-05-09,NA,NA,607.48,NA,NA,1101.17,NA,NA,NA
1960-05-10,NA,NA,604.82,NA,NA,1075.93,NA,NA,NA
1960-05-11,NA,NA,606.54,NA,NA,1095.65,NA,NA,NA
1960-05-12,NA,NA,607.87,NA,NA,1088.68,NA,NA,NA
1960-05-13,NA,NA,616.03,NA,NA,1069.27,NA,NA,NA
1960-05-16,NA,NA,617.39,NA,NA,1067.1,NA,NA,NA
1960-05-17,NA,NA,621.63,NA,NA,1030.36,NA,NA,NA
1960-05-18,NA,NA,623,NA,NA,1035.96,NA,NA,NA
1960-05-19,NA,NA,624.68,NA,NA,1055.5,NA,NA,NA
1960-05-20,NA,NA,625.24,NA,NA,1048.96,NA,NA,NA
1960-05-23,NA,NA,623.66,NA,NA,1015.33,NA,NA,NA
1960-05-24,NA,NA,621.39,NA,NA,1022.43,NA,NA,NA
1960-05-25,NA,NA,621.28,NA,NA,1028.29,NA,NA,NA
1960-05-26,NA,NA,622.79,NA,NA,1018.93,NA,NA,NA
1960-05-27,NA,NA,624.78,NA,NA,1002.88,NA,NA,NA
1960-05-30,NA,NA,624.78,NA,NA,1001.1,NA,NA,NA
1960-05-31,NA,NA,625.5,NA,NA,988.47,NA,NA,NA
1960-06-01,NA,NA,624.89,NA,NA,971.93,NA,NA,NA
1960-06-02,NA,NA,627.87,NA,NA,967.22,NA,NA,NA
1960-06-03,NA,NA,628.98,NA,NA,1006.48,NA,NA,NA
1960-06-06,NA,NA,636.92,NA,NA,1032.44,NA,NA,NA
1960-06-07,NA,NA,645.58,NA,NA,1043.98,NA,NA,NA
1960-06-08,NA,NA,650.35,NA,NA,1060.22,NA,NA,NA
1960-06-09,NA,NA,656.42,NA,NA,1053.1,NA,NA,NA
1960-06-10,NA,NA,654.88,NA,NA,1051.01,NA,NA,NA
1960-06-13,NA,NA,655.85,NA,NA,1054.2,NA,NA,NA
1960-06-14,NA,NA,654.88,NA,NA,1060.43,NA,NA,NA
1960-06-15,NA,NA,649.42,NA,NA,1056.72,NA,NA,NA
1960-06-16,NA,NA,648.27,NA,NA,1020.02,NA,NA,NA
1960-06-17,NA,NA,650.89,NA,NA,1010.17,NA,NA,NA
1960-06-20,NA,NA,647.52,NA,NA,1022.43,NA,NA,NA
1960-06-21,NA,NA,644.93,NA,NA,1030.52,NA,NA,NA
1960-06-22,NA,NA,645.36,NA,NA,1052.06,NA,NA,NA
1960-06-23,NA,NA,647.41,NA,NA,1055.2,NA,NA,NA
1960-06-24,NA,NA,647.01,NA,NA,1058,NA,NA,NA
1960-06-27,NA,NA,642.49,NA,NA,1058.52,NA,NA,NA
1960-06-28,NA,NA,637.46,NA,NA,1065.57,NA,NA,NA
1960-06-29,NA,NA,638.39,NA,NA,1080.48,NA,NA,NA
1960-06-30,NA,NA,640.62,NA,NA,1089.63,NA,NA,NA
1960-07-01,NA,NA,641.3,NA,NA,1092.16,NA,NA,NA
1960-07-04,NA,NA,641.3,NA,NA,1093.98,NA,NA,NA
1960-07-05,NA,NA,640.91,NA,NA,1098.17,NA,NA,NA
1960-07-06,NA,NA,640.37,NA,NA,1103.82,NA,NA,NA
1960-07-07,NA,NA,644.89,NA,NA,1097.15,NA,NA,NA
1960-07-08,NA,NA,646.91,NA,NA,1099.25,NA,NA,NA
1960-07-11,NA,NA,640.44,NA,NA,1102.41,NA,NA,NA
1960-07-12,NA,NA,634.12,NA,NA,1113.75,NA,NA,NA
1960-07-13,NA,NA,632.11,NA,NA,1101.42,NA,NA,NA
1960-07-14,NA,NA,631.32,NA,NA,1101.71,NA,NA,NA
1960-07-15,NA,NA,630.24,NA,NA,1107.41,NA,NA,NA
1960-07-18,NA,NA,626,NA,NA,1121.1,NA,NA,NA
1960-07-19,NA,NA,624.78,NA,NA,1115.65,NA,NA,NA
1960-07-20,NA,NA,624.13,NA,NA,1108.25,NA,NA,NA
1960-07-21,NA,NA,616.63,NA,NA,1111.55,NA,NA,NA
1960-07-22,NA,NA,609.87,NA,NA,1111.01,NA,NA,NA
1960-07-25,NA,NA,601.68,NA,NA,1091.56,NA,NA,NA
1960-07-26,NA,NA,606.75,NA,NA,1091.08,NA,NA,NA
1960-07-27,NA,NA,601.76,NA,NA,1093.96,NA,NA,NA
1960-07-28,NA,NA,605.67,NA,NA,1098.33,NA,NA,NA
1960-07-29,NA,NA,616.73,NA,NA,1093.37,NA,NA,NA
1960-08-01,NA,NA,617.85,NA,NA,1097.29,NA,NA,NA
1960-08-02,NA,NA,613.68,NA,NA,1100.97,NA,NA,NA
1960-08-03,NA,NA,608.69,NA,NA,1108.89,NA,NA,NA
1960-08-04,NA,NA,609.23,NA,NA,1114.39,NA,NA,NA
1960-08-05,NA,NA,614.29,NA,NA,1121.68,NA,NA,NA
1960-08-08,NA,NA,614.79,NA,NA,1120.12,NA,NA,NA
1960-08-09,NA,NA,615.69,NA,NA,1124.99,NA,NA,NA
1960-08-10,NA,NA,617.52,NA,NA,1123.95,NA,NA,NA
1960-08-11,NA,NA,622.88,NA,NA,1124.5,NA,NA,NA
1960-08-12,NA,NA,626.18,NA,NA,1129.16,NA,NA,NA
1960-08-15,NA,NA,624.17,NA,NA,1138.44,NA,NA,NA
1960-08-16,NA,NA,625.43,NA,NA,1138.17,NA,NA,NA
1960-08-17,NA,NA,626.54,NA,NA,1142.93,NA,NA,NA
1960-08-18,NA,NA,625.82,NA,NA,1144.94,NA,NA,NA
1960-08-19,NA,NA,629.27,NA,NA,1142.9,NA,NA,NA
1960-08-22,NA,NA,630.71,NA,NA,1139.72,NA,NA,NA
1960-08-23,NA,NA,638.29,NA,NA,1142.31,NA,NA,NA
1960-08-24,NA,NA,641.56,NA,NA,1150.55,NA,NA,NA
