"date","FTSE ALL SHARE - PRICE INDEX","RUSSELL 2000 - PRICE INDEX","WORLD-DS Market - PRICE INDEX","CHINA A-DS MARKET $ - PRICE INDEX","IRELAND-DS MARKET $ - PRICE INDEX"
2019-01-01,3675.06,1348.56,1767.72,549.16,1816.59
2018-12-01,3863.09,1548.96,1914.99,584.87,1913.58
2018-11-01,3907.1,1544.98,1881.85,571,2016.4
2018-10-01,4124.6,1672.99,2018.93,625.81,2124.53
2018-09-01,4138.84,1740.75,2013.23,607.34,2285.16
2018-08-01,4208.63,1669.26,2014.36,631.58,2289.77
2018-07-01,4155.36,1655.09,1955.36,637.35,2291.72
2018-06-01,4237.55,1647.98,2002.5,727.91,2375.36
2018-05-01,4135.31,1550.34,1998.54,736.4,2334.25
2018-04-01,3894.17,1492.53,1968.81,763.96,2356.93
2018-03-01,3953.28,1507.39,2008.23,787.6,2382.57
2018-02-01,4115.99,1579.87,2124.12,833.57,2507.64
2018-01-01,4221.82,1535.51,2009.61,760.45,2394.69
2017-12-01,4018.87,1537.02,1967.94,744.75,2369.5
2017-11-01,4120.01,1492.78,1950.1,753.77,2300.11
2017-10-01,4082.95,1509.47,1908.65,726.46,2278.04
2017-09-01,4075.75,1413.57,1882.31,734.43,2279.33
2017-08-01,4071.32,1428.33,1878.27,707.57,2259.01
2017-07-01,4029.7,1426.68,1821.96,678.38,2214.68
2017-06-01,4127.68,1396.06,1825.12,656.6,2246.6
2017-05-01,3962.49,1407.36,1784.41,642.33,2076.95
2017-04-01,3970.98,1369.67,1752.21,648.39,1950.72
2017-03-01,4014.72,1413.64,1745.82,649.57,1957.22
2017-02-01,3865.66,1361.23,1695.69,636.02,1907.82
2017-01-01,3873.22,1357.13,1646.88,614.69,1852.01
2016-12-01,3677.03,1313.8,1607.67,660.89,1771.06
2016-11-01,3751.16,1177.94,1609.31,640.47,1754.9
2016-10-01,3804.58,1245.78,1642.26,631.01,1850.15
2016-09-01,3685.63,1239.8,1636.58,643.92,1913.17
2016-08-01,3635.5,1219.12,1629.16,627.3,1819.4
2016-07-01,3555.45,1156.77,1572.5,621.06,1813.68
2016-06-01,3407.91,1163.04,1576.41,627.89,2096.95
2016-05-01,3421.7,1140.92,1588,638.41,2089.09
2016-04-01,3379.36,1117.68,1552.48,659.18,2123.98
2016-03-01,3377.18,1054.49,1482.35,592.72,2062.83
2016-02-01,3325.54,1032.39,1473.87,582.89,2108.13
2016-01-01,3444.26,1135.89,1565.14,760.97,2179.05
2015-12-01,3513.19,1204.16,1606.09,754.25,2127.03
2015-11-01,3487.01,1186.09,1617.59,738.37,2138.06
2015-10-01,3344.14,1097.55,1510.73,679.9,2054.85
2015-09-01,3341.83,1128.05,1526.73,710.66,2049.78
2015-08-01,3649.14,1231.79,1675.46,834.23,2120.63
2015-07-01,3615.74,1256.4,1681.72,928.81,2023.32
2015-06-01,3786.37,1249.62,1713.68,1097.93,1960.57
2015-05-01,3770.75,1228.11,1729.61,1038.94,1928.72
2015-04-01,3680.45,1251.71,1675.11,899.52,1859.59
2015-03-01,3740.32,1242.62,1705.35,785.13,1843.37
2015-02-01,3638.29,1175.51,1634.53,737.12,1732.26
2015-01-01,3532.74,1204.7,1639.55,770.82,1791.39
2014-12-01,3558.94,1154.05,1665.92,630.59,1789.9
2014-11-01,3476.13,1170.2,1652.68,572.82,1700.26
2014-10-01,3498.96,1085.41,1639.35,558.17,1719.79
2014-09-01,3644.57,1174.35,1721.1,536.83,1795.24
2014-08-01,3559.02,1114.86,1680.71,524.94,1732.46
2014-07-01,3630.37,1205.95,1722.81,494.6,1768.66
2014-06-01,3666.64,1128.9,1688.25,489.46,1822.96
2014-05-01,3633.61,1125.97,1656.43,485.36,1836.74
2014-04-01,3584.47,1188.7,1655.12,493.85,1942.32
2014-03-01,3608.55,1176.36,1615.81,507.43,1961.27
2014-02-01,3472.42,1094.58,1543.63,512.89,1762.95
2014-01-01,3609.63,1163.64,1629.19,533.82,1735.83
2013-12-01,3519.47,1129.12,1599.18,552.68,1698.05
2013-11-01,3585.99,1095.67,1587.08,539.99,1652.72
2013-10-01,3445.08,1087.43,1545.53,546.95,1591.69
2013-09-01,3460.54,1010.9,1465.42,526.86,1591.57
2013-08-01,3543.69,1059.88,1505.69,514.66,1552.78
2013-07-01,3338.61,989.84,1439.06,505.58,1464.47
2013-06-01,3443.62,990.53,1477.06,579.49,1462.07
2013-05-01,3402.27,924.24,1488.98,546.71,1404.1
2013-04-01,3380.64,938.79,1450.81,554.35,1377.77
2013-03-01,3358.29,914.73,1436.65,585.07,1311.57
2013-02-01,3327.24,911.2,1457.84,601.21,1317.36
2013-01-01,3093.41,849.35,1383.57,563.82,1199.93
2012-12-01,3067.07,820.8,1350.3,486.11,1168.96
2012-11-01,3064.73,827.85,1345.34,522.09,1138.16
2012-10-01,3038.34,840.31,1347.34,515.15,1132.55
2012-09-01,2996.54,812.09,1300.83,501.87,1071.66
2012-08-01,2963.29,771.03,1272.33,521.25,1023.84
2012-07-01,2927.12,807.94,1265.61,545.44,1042.98
2012-06-01,2732.65,737.42,1181.43,576.4,994.72
2012-05-01,3020.6,815.89,1338.36,584.99,1135.36
2012-04-01,3053.42,840.63,1365.98,556.06,1157.21
2012-03-01,3073.69,815.22,1360.31,593.58,1126
2012-02-01,2990.34,809.66,1309.68,555.59,1045.59
2012-01-01,2857.88,740.92,1216.21,540.87,954.71
2011-12-01,2824.73,730.75,1229.68,574.44,929.55
2011-11-01,2795.56,713.89,1230.09,596.23,916.83
2011-10-01,2628.41,609.49,1121.48,568.87,856.11
2011-09-01,2812.61,708.92,1280.31,616.03,951.99
2011-08-01,3004.41,792.85,1388.76,646.24,1008.71
2011-07-01,3120.33,840.04,1428.18,657.43,1112.7
2011-06-01,3092.54,821.4,1426.02,648.83,1116.92
2011-05-01,3155.03,854.77,1481.88,688.41,1174.06
2011-04-01,3116.83,846.77,1433.02,696.5,1095.28
2011-03-01,3079.66,807.08,1415.34,688.13,1079.97
2011-02-01,3090.98,798.89,1409.31,659.59,1062.96
2011-01-01,3062.85,798.56,1384.52,668.17,1009.24
